sound.files,duration,selec,start,end,nonbees,chatter,both
M31_chatter.wav,0.064472275,1,0.020858677,0.085330952,bees,1,bees_chatter
M31_chatter.wav,0.037924867,2,0.108085873,0.14601074,bees,1,bees_chatter
M31_chatter.wav,0.036028624,3,0.176350634,0.212379258,bees,1,bees_chatter
M31_chatter.wav,0.051198571,4,0.248407883,0.299606454,bees,1,bees_chatter
M31_chatter.wav,0.054991058,5,0.337531321,0.392522379,bees,1,bees_chatter
M31_chatter.wav,0.037924868,6,0.43234349,0.470268358,bees,1,bees_chatter
M31_chatter.wav,0.041717355,7,0.502504495,0.54422185,bees,1,bees_chatter
M31_chatter.wav,0.043613598,8,0.568873013,0.612486611,bees,1,bees_chatter
M31_chatter.wav,0.058783545,9,0.639034018,0.697817563,bees,1,bees_chatter
M31_chatter.wav,0.051198571,10,0.737638674,0.788837245,bees,1,bees_chatter
M31_chatter.wav,0.053094815,11,0.813488409,0.866583224,bees,1,bees_chatter
M31_chatter.wav,0.060679788,12,0.896923118,0.957602906,bees,1,bees_chatter
M31_chatter.wav,0.051198572,13,0.974669096,1.025867668,bees,1,bees_chatter
M31_chatter.wav,0.066368518,14,1.050518832,1.11688735,bees,1,bees_chatter
M31_chatter.wav,0.053094815,15,1.143434757,1.196529572,bees,1,bees_chatter
M31_chatter.wav,0.058783545,16,1.217388249,1.276171794,bees,1,bees_chatter
M31_chatter.wav,0.064472275,17,1.28565301,1.350125285,bees,1,bees_chatter
M31_chatter.wav,0.062576032,18,1.369087719,1.431663751,bees,1,bees_chatter
M31_chatter.wav,0.062576032,19,1.456314914,1.518890946,bees,1,bees_chatter
M31_chatter.wav,0.054991058,20,1.534060893,1.589051951,bees,1,bees_chatter
M31_chatter.wav,0.056887301,21,1.702826554,1.759713855,bees,1,bees_chatter
M31_chatter.wav,0.062576031,22,1.619391845,1.681967876,bees,1,bees_chatter
C21_chatter.wav,0.053562171,1,0.023210275,0.076772446,bees,1,bees_chatter
C21_chatter.wav,0.071416229,2,0.132120024,0.203536253,bees,1,bees_chatter
C21_chatter.wav,0.060703795,3,0.233888151,0.294591946,bees,1,bees_chatter
C21_chatter.wav,0.055347578,4,0.319587626,0.374935204,bees,1,bees_chatter
C21_chatter.wav,0.053562172,5,0.405287101,0.458849273,bees,1,bees_chatter
C21_chatter.wav,0.055347577,6,0.487415765,0.542763342,bees,1,bees_chatter
C21_chatter.wav,0.051776767,7,0.562402805,0.614179572,bees,1,bees_chatter
C21_chatter.wav,0.069630824,8,0.649887686,0.71951851,bees,1,bees_chatter
C21_chatter.wav,0.064274607,9,0.755226624,0.819501231,bees,1,bees_chatter
C21_chatter.wav,0.060703795,10,0.860565562,0.921269357,bees,1,bees_chatter
C21_chatter.wav,0.0624892,11,0.985543964,1.048033164,bees,1,bees_chatter
C21_chatter.wav,0.051776766,12,1.096239119,1.148015885,bees,1,bees_chatter
C21_chatter.wav,0.049991361,13,1.180153188,1.230144549,bees,1,bees_chatter
C21_chatter.wav,0.0624892,14,1.271208881,1.333698081,bees,1,bees_chatter
C21_chatter.wav,0.0624892,15,1.396187282,1.458676482,bees,1,bees_chatter
C21_chatter.wav,0.057132984,16,1.497955408,1.555088392,bees,1,bees_chatter
C21_chatter.wav,0.058918389,17,1.597938129,1.656856518,bees,1,bees_chatter
C7bees_ind.wav,0.046561613,1,0.093123226,0.139684839,bees,0,bees_ind
C7bees_ind.wav,0.075461924,2,0.194274316,0.26973624,bees,0,bees_ind
C7bees_ind.wav,0.05619505,3,0.322720145,0.378915195,bees,0,bees_ind
C7bees_ind.wav,0.054589478,4,0.43832139,0.492910868,bees,0,bees_ind
C7bees_ind.wav,0.059406195,5,0.606906541,0.666312736,bees,0,bees_ind
C7bees_ind.wav,0.069039632,6,0.823658877,0.892698509,bees,0,bees_ind
C7bees_ind.wav,0.049772759,7,0.716085495,0.765858254,bees,0,bees_ind
C7bees_ind.wav,0.069039633,8,1.000271891,1.069311524,bees,0,bees_ind
C7bees_ind.wav,0.072250779,9,1.168857041,1.24110782,bees,0,bees_ind
C7bees_ind.wav,0.062617342,10,1.382398231,1.445015573,bees,0,bees_ind
34mamba_ind.wav,0.047136585,1,0.02142572,0.068562305,nonbees,0,nonbees_ind
34mamba_ind.wav,0.047136584,2,0.100700886,0.14783747,nonbees,0,nonbees_ind
34mamba_ind.wav,0.044994013,3,0.201401771,0.246395784,nonbees,0,nonbees_ind
34mamba_ind.wav,0.066419733,4,0.325670949,0.392090682,nonbees,0,nonbees_ind
34mamba_ind.wav,0.049279156,5,0.430656979,0.479936135,nonbees,0,nonbees_ind
34mamba_ind.wav,0.068562305,6,0.574209305,0.64277161,nonbees,0,nonbees_ind
34mamba_ind.wav,0.062134589,7,0.724189347,0.786323936,nonbees,0,nonbees_ind
34mamba_ind.wav,0.042851441,8,0.863456529,0.90630797,nonbees,0,nonbees_ind
34mamba_ind.wav,0.049279157,9,1.002723711,1.052002868,nonbees,0,nonbees_ind
34mamba_ind.wav,0.0535643,10,1.161274042,1.214838342,nonbees,0,nonbees_ind
34mamba_ind.wav,0.044994013,11,1.32839466,1.373388673,nonbees,0,nonbees_ind
34mamba_ind.wav,0.034281153,12,1.461234126,1.495515279,nonbees,0,nonbees_ind
34mamba_ind.wav,0.051421728,13,1.630497317,1.681919045,nonbees,0,nonbees_ind
34mamba_ind.wav,0.036423724,14,1.756909067,1.793332791,nonbees,0,nonbees_ind
